"Nombre d'incendies suivant les critères de sélection : 2541"
"Critères de sélection =>";"Date de première alerte, de : 2025-01-01 00:00:00";"Date de première alerte, jusqu'à : 2025-12-31 23:59:00";"France entière";"Type de feu : F"
Année;Numéro;Département;"Code INSEE";"Nom de la commune";"Date de première alerte";"Surface parcourue (m2)";"Surface forêt (m2)";"Surface maquis garrigues (m2)";"Autres surfaces naturelles hors forêt (m2)";"Surfaces agricoles (m2)";"Autres surfaces (m2)";"Surface autres terres boisées (m2)";"Surfaces non boisées naturelles (m2)";"Surfaces non boisées artificialisées (m2)";"Surfaces non boisées (m2)";"Précision des surfaces";"Type de peuplement";Nature;"Décès ou bâtiments touchés";"Nombre de décès";"Nombre de bâtiments totalement détruits";"Nombre de bâtiments partiellement détruits";"Précision de la donnée"
2025;1540;"13";"13062";"Mimet";"2025-02-13 14:20:00";80;80;0;0;0;0;;;;;"Mesurées";;"Accidentelle";"Non";;;;""
2025;7578;"11";"11311";"Ribaute";"2025-02-14 09:35:00";500;0;500;0;0;0;;;;;"Mesurées";;"Involontaire (particulier)";"Non";;;;""
2025;14196;"47";"47027";"Bias";"2025-02-15 13:08:15";1;1;;0;0;0;;;;;"Estimées";;"Involontaire (particulier)";"Non";0;0;0;""
2025;587;"48";"48115";"Le Pompidou";"2025-02-15 18:10:00";910;0;910;0;0;0;;;;;"Mesurées";"1";"Malveillance";"Non";;;;""
2025;243;"05";"05008";"Aspremont";"2025-02-16 11:59:00";80;80;0;0;0;0;;;;;"Estimées";"1";"Accidentelle";"Non";;;;""
2025;222;"34";"34293";"La Salvetat-sur-Agout";"2025-02-16 14:07:00";8275;8275;0;0;0;0;;;;;"Mesurées";"1";"Involontaire (travaux)";"Non";;;;""
2025;18360;"40";"40281";"Saint-Pierre-du-Mont";"2025-02-17 08:02:00";1;1;;0;0;0;;;;;"Estimées";;"Involontaire (travaux)";"Non";0;0;0;""
2025;1499;"13";"13118";"Coudoux";"2025-02-17 15:22:00";5;5;0;0;0;0;;;;;"Estimées";;;"Non";;;;""
2025;1507;"13";"13001";"Aix-en-Provence";"2025-02-17 16:31:00";15;15;0;0;0;0;;;;;"Estimées";;"Accidentelle";"Non";;;;""
2025;9040;"2A";"2A249";"Propriano";"2025-02-19 12:46:00";20;20;0;0;0;0;;;;;"Estimées";;"Involontaire (particulier)";"Non";;;;""
2025;15487;"33";"33019";"Audenge";"2025-02-19 18:30:00";200;200;;0;0;0;;;;;"Estimées";;"Malveillance";"Non";;;;""
2025;7583;"11";"11262";"Narbonne";"2025-02-19 18:32:00";5;0;5;0;0;0;;;;;"Mesurées";;"Involontaire (particulier)";"Non";;;;""
2025;14448;"09";"09328";"Verdun";"2025-02-20 14:11:00";510000;20000;;490000;0;0;;;;;"Mesurées";;;"Non";;;;""
2025;9042;"2A";"2A114";"Figari";"2025-02-20 15:49:00";400;400;0;0;0;0;;;;;"Estimées";;;"Non";;;;""
2025;9041;"2A";"2A276";"Serra-di-Ferro";"2025-02-20 17:26:00";10;10;0;0;0;0;;;;;"Estimées";;;"Non";;;;""
2025;14032;"65";"65042";"Asté";"2025-02-20 18:02:00";166200;6030;;160170;0;0;;;;;"Mesurées";;;"Non";;;;""
2025;14989;"64";"64477";"Saint-Étienne-de-Baïgorry";"2025-02-21 02:31:00";446000;42000;;404000;0;0;;;;;"Estimées";;"Involontaire (travaux)";"Non";;;;""
2025;304;"04";"04217";"Thoard";"2025-02-21 16:14:00";150;150;0;0;0;0;;;;;"Estimées";;"Malveillance";"Non";;;;""
2025;251;"05";"05021";"Le Bersac";"2025-02-21 18:02:00";50;50;0;0;0;0;;;;;"Estimées";"3";"Accidentelle";"Oui";0;1;0;""
2025;15356;"976";"97612";"Mtsamboro";"2025-02-22 14:03:00";279300;279300;;0;0;0;;;;;"Estimées";;"Involontaire (travaux)";"Non";;;;""
2025;9057;"83";"83053";"Évenos";"2025-02-26 11:05:00";50;0;50;0;0;0;;;;;"Estimées";"2";"Involontaire (particulier)";"Non";;;;""
2025;315;"34";"34341";"Villeveyrac";"2025-02-26 14:12:00";4442;4442;0;0;0;0;;;;;"Mesurées";;"Involontaire (travaux)";"Non";;;;""
2025;13991;"84";"84032";"Caseneuve";"2025-02-26 16:19:23";500;500;;;;;;;;;"Estimées";;;"Non";;;;""
2025;7589;"11";"11069";"Carcassonne";"2025-02-26 18:26:00";1;0;1;0;0;0;;;;;"Mesurées";;"Involontaire (particulier)";"Non";;;;""
2025;344;"06";"06074";"Lantosque";"2025-02-27 11:59:00";200;0;200;0;0;0;;;;;"Estimées";;"Involontaire (particulier)";"Non";;;;""
2025;1529;"13";"13010";"Barbentane";"2025-02-28 15:47:00";1000;1000;0;0;0;0;;;;;"Estimées";;"Malveillance";"Non";;;;""
2025;12234;"70";"70011";"Amage";"2025-03-01 13:02:00";200;200;;0;0;0;;;;;"Estimées";;;"Non";;;;""
2025;306;"34";"34286";"Saint-Privat";"2025-03-01 16:09:00";5644;5644;0;0;0;0;;;;;"Mesurées";"1";"Involontaire (travaux)";"Non";;;;""
2025;9061;"83";"83116";"Saint-Maximin-la-Sainte-Baume";"2025-03-01 18:18:00";20;0;20;0;0;0;;;;;"Estimées";"2";;"Non";;;;""
2025;7593;"11";"11181";"Labécède-Lauragais";"2025-03-01 19:11:00";25;25;0;0;0;0;;;;;"Mesurées";"3";"Involontaire (travaux)";"Non";;;;""
2025;1578;"13";"13080";"Le Puy-Sainte-Réparade";"2025-03-01 20:35:00";20;20;0;0;0;0;;;;;"Estimées";;"Involontaire (travaux)";"Non";;;;""
2025;1551;"13";"13075";"Plan-de-Cuques";"2025-03-02 08:52:00";100;100;0;0;0;0;;;;;"Estimées";;"Involontaire (particulier)";"Non";;;;""
2025;923;"29";"29066";"Guengat";"2025-03-02 08:58:00";10;10;;0;0;0;;;;;"Mesurées";;"Accidentelle";"Non";;;;""
2025;9064;"83";"83145";"Varages";"2025-03-02 12:16:00";6000;0;6000;0;0;0;;;;;"Estimées";;"Involontaire (travaux)";"Non";;;;""
2025;7594;"11";"11190";"La Redorte";"2025-03-02 14:57:00";2417;0;2417;0;0;0;;;;;"Mesurées";;"Involontaire (travaux)";"Non";;;;""
2025;343;"06";"06003";"Andon";"2025-03-02 15:11:00";10000;0;10000;0;0;0;;;;;"Estimées";"1";;"Non";;;;""
2025;9065;"83";"83064";"Garéoult";"2025-03-02 15:31:00";150;0;150;0;0;0;;;;;"Estimées";"2";;"Non";;;;"Données partielles ou non valides"
2025;345;"06";"06050";"Coursegoules";"2025-03-03 13:39:00";223700;166700;57000;0;0;0;;;;;"Mesurées";"1";"Malveillance";"Non";;;;""
2025;333;"05";"05058";"Freissinières";"2025-03-03 14:04:00";10000;10000;0;0;0;0;;;;;"Estimées";"1";"Involontaire (travaux)";"Non";;;;""
2025;14880;"64";"64119";"Beuste";"2025-03-03 14:39:53";3000;3000;;0;0;0;;;;;"Estimées";;;"Non";0;0;0;""
2025;337;"04";"04033";"Ubaye-Serre-Ponçon";"2025-03-04 13:24:00";1800;1500;0;300;0;0;;;;;"Mesurées";;"Involontaire (particulier)";"Non";;;;""
2025;444;"34";"34144";"Lunas-les-Châteaux";"2025-03-04 18:09:00";8022;8022;0;0;0;0;;;;;"Mesurées";"1";"Involontaire (travaux)";"Non";;;;""
2025;389;"34";"34213";"Poussan";"2025-03-04 21:42:00";24;24;0;0;0;0;;;;;"Mesurées";"1";"Accidentelle";"Non";;;;""
2025;18624;"38";"38485";"Seyssinet-Pariset";"2025-03-05 11:04:00";20;20;;0;0;0;;;;;"Estimées";;;"Non";0;0;0;""
2025;19227;"07";"07155";"Mercuer";"2025-03-05 11:40:00";2000;0;2000;0;0;0;;;;;"Estimées";"2";"Accidentelle";"Non";;;;""
2025;22046;"07";"07194";"Rochessauve";"2025-03-05 12:06:00";2000;0;2000;0;0;0;;;;;"Estimées";"1";"Involontaire (travaux)";"Non";0;0;0;""
2025;21763;"48";"48155";"Saint-Germain-de-Calberte";"2025-03-05 12:12:00";990;990;0;0;0;0;;;;;"Mesurées";"1";;;;;;"Données partielles ou non valides"
2025;332;"05";"05032";"Champoléon";"2025-03-05 13:23:00";5000;1000;0;4000;0;0;;;;;"Estimées";"1";"Involontaire (particulier)";"Non";;;;""
2025;12487;"73";"73249";"Saint-Jeoire-Prieuré";"2025-03-05 15:19:00";30000;30000;;0;0;0;;;;;"Mesurées";;;"Non";;;;""
2025;18364;"40";"40332";"Ychoux";"2025-03-05 15:36:00";100;100;;0;0;0;;;;;"Estimées";;"Involontaire (travaux)";"Non";0;0;0;""
2025;18940;"84";"84042";"Cucuron";"2025-03-05 15:50:00";4400;0;4400;0;0;0;;;;;"Mesurées";"1";"Malveillance";"Non";;;;""
2025;439;"05";"05117";"Ribeyret";"2025-03-05 16:26:00";150;0;150;0;0;0;;;;;"Estimées";"1";"Involontaire (particulier)";"Non";;;;""
2025;9068;"83";"83125";"Seillons-Source-d'Argens";"2025-03-05 16:26:00";500;500;0;0;0;0;;;;;"Estimées";;;"Non";;;;""
2025;18941;"84";"84112";"Saint-Martin-de-Castillon";"2025-03-05 16:33:00";12100;1800;0;0;0;10300;;;;;"Mesurées";"1";;"Non";;;;""
2025;18942;"84";"84113";"Saint-Martin-de-la-Brasque";"2025-03-05 16:33:00";390;110;0;0;0;280;;;;;"Mesurées";;"Involontaire (travaux)";"Non";;;;""
2025;18363;"40";"40184";"Mimizan";"2025-03-05 17:40:00";1;1;;0;0;0;;;;;"Estimées";;"Involontaire (particulier)";"Non";0;0;0;""
2025;9069;"83";"83137";"Toulon";"2025-03-05 17:42:00";5;0;5;0;0;0;;;;;"Estimées";"2";;"Non";;;;"Données partielles ou non valides"
2025;433;"06";"06023";"Breil-sur-Roya";"2025-03-05 18:02:00";1113800;1084900;28900;0;0;0;;;;;"Mesurées";;"Malveillance";"Oui";0;0;2;""
2025;383;"34";"34144";"Lunas-les-Châteaux";"2025-03-05 19:18:00";33020;33020;0;0;0;0;;;;;"Mesurées";"1";"Involontaire (travaux)";"Non";;;;""
2025;22047;"07";"07153";"Mayres";"2025-03-06 09:58:00";129000;1200;57500;70300;0;0;;;;;"Mesurées";"1";"Involontaire (travaux)";"Non";;;;""
2025;14431;"09";"09285";"Seix";"2025-03-06 11:54:00";440000;350000;;90000;0;0;;;;;"Mesurées";;;"Non";;;;""
2025;18946;"84";"84073";"Ménerbes";"2025-03-06 13:04:44";5;5;;;;;;;;;"Estimées";;;"Non";;;;""
2025;436;"06";"06062";"Fontan";"2025-03-06 13:10:00";258200;230900;27300;0;0;0;;;;;"Mesurées";;"Malveillance";"Non";;;;""
2025;14033;"65";"65135";"Castillon";"2025-03-06 13:54:00";17300;1200;;0;16100;0;;;;;"Mesurées";;;"Non";;;;""
